,Open,High,Close,Volume,MA5,MA10,MA20,VMA5,VMA10,VMA20,price_change
999,-0.3424082435784713,-0.3470779977919497,-0.3478529744238621,-0.4589932850952013,-0.3487528973669428,-0.3479410891379209,-0.33823696388778823,-0.321179656377064,-0.23653235699814912,-0.1972750385369726,-6.896285528330626
998,-0.3482754557900849,-0.3493809950234773,-0.35071287436152665,-0.4694955438620344,-0.3486420763655428,-0.3493746037475651,-0.33883270326445425,-0.39705404945914025,-0.2526810107684532,-0.2183524726232028,-7.462475041468722
997,-0.3560435250192364,-0.3576866431036315,-0.3628861657192297,-0.1290237566736736,-0.35093038028634427,-0.3517068735983655,-0.34036214234341633,-0.3470459746945933,-0.23691454063082995,-0.21890871410239565,-28.830061478162317
996,-0.3630632253438454,-0.3638824485587735,-0.3640840295674662,-0.3317993738711408,-0.3540453489743465,-0.35330066622601597,-0.34183238216356515,-0.3903732056755558,-0.27477113423213384,-0.24014391575148153,-3.767187294669282
995,-0.3639463006512057,-0.3601827949416744,-0.3589332150200494,-0.25737593508967627,-0.3567859223873483,-0.35361822641122453,-0.34366231368283295,-0.32929090397704963,-0.294497159545389,-0.2567624012756402,10.86213266505149
994,-0.3589322289907706,-0.36192118640031135,-0.3653268133100115,-0.06497097821832698,-0.36028127667475096,-0.35436868703759006,-0.3459006451521419,-0.2504809581828481,-0.28513655168520213,-0.25314087507905136,-15.738604311319639
993,-0.3599799454571302,-0.35585910336506454,-0.3552198370905163,0.028545284717561792,-0.3611828204969515,-0.35476413934369877,-0.34757396091075166,-0.15086586020840165,-0.2732546681932374,-0.23455797686892255,22.23139892232724
992,-0.3555046994079657,-0.35042105828932846,-0.34678987025855224,0.025483360692375667,-0.3579630211319492,-0.3542982845436994,-0.34850915932846105,-0.1199622861418661,-0.23275954435794366,-0.22107910110653828,18.09985490844908
991,-0.3456411972460951,-0.3456813414063782,-0.3408454709116787,-0.3507470379134786,-0.3533145293975458,-0.35353134673791275,-0.3489250528555675,-0.12375208268394366,-0.25634094322771284,-0.2232899878298813,12.320666697810493
990,-0.3389507792394848,-0.3427840223086499,-0.34083049761357576,-0.2155552565691693,-0.3496933782977434,-0.3530909566697461,-0.34941588215332353,-0.1153873648754471,-0.2215837025144599,-0.22143349883593488,-0.9665985867489978
989,-0.3379778996635795,-0.3383414663587999,-0.3344818192179225,-0.37964695960592054,-0.34352334416573904,-0.35175330928582527,-0.34950430636269036,-0.17832694114578984,-0.213640809390106,-0.2236674562948422,13.094273504475387
